ISBN13,Title,Review,Rating
"=""9783423441711""","Teuer! Die Wahrheit über Inflation, ihre Profiteure und das Versagen der Politik","Ein sehr gutes Buch über die Ursache und die Auswirkungen von Inflation. Es zeigt schön und nachvollziehbar auf, wieso die gängigen Theorien nicht funktionieren und dass man zur Bekämpfung der Inflation wissen muss, woher die genau kommt.",4
"=""9783455014686""",Die Altenrepublik. Wie der demographische Wandel unsere Zukunft gefährdet,"Einige gute Punkte vermögen dieses Buch leider nicht zu retten. Zu unstrukturiert, zu gross ist das Durcheinander, dass der Autor da anzettelt. Ein roter Faden oder schon nur eine nachvollziehbare Abfolge von Themen sind für mich nicht erkennbar. Da wird auf 7 Seiten munter von Bitcoins zu Walverhalten bei der Bundestagswahl 2021 zu Brexit zur Stimmungslage hin und her gehüpft – wie ein Eichhörnchen auf Speed das Futter sucht. ",1
"=""""",Modeling and Simulation in Python,You can get the book for free directly from the GitHub Account of the author at https://allendowney.github.io/ModSimPy/ . The interactive notebooks are a great help to follow along and experiment with the concepts yourself. <br/><br/>I found the book itself too shallow and the explanations of the concept not good enough to understand them. With the notebooks a lot of that could be mitigated.<br/>,3
"=""9783518127827""",Radikalisierter Konservatismus. Eine Analyse,Eine sehr gute analyse der politischen Lage durch Natascha Strobl. Das Buch erläutert die Zusammenhänge zwischen den konservativen Parteien und den neuen Rechten und wie sich die gegenseitig helfen. ,5
"=""9781789341850""",Hands-On Image Processing with Python: Expert techniques for advanced image analysis and effective interpretation of image data,"I hoped for a more structured explanation in this book than in the [b:Python Image Processing Cookbook: Over 60 recipes to help you perform complex image processing and computer vision tasks with ease|72427694|Python Image Processing Cookbook  Over 60 recipes to help you perform complex image processing and computer vision tasks with ease|Sandipan Dey|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677893320l/72427694._SX50_.jpg|81316989] by the same author. Unfortunately, that is not the case. The same problem with the image quality and the lack of explanation continues. We get another collection of loosely related topics about image processing, once more without any structure, guidance or explanation about the pros and cons of the used algorithms. ",1
"=""9780593098240""",Children of Dune (Dune #3),This part of the series is all about the children of Paul Muad'Dib and the world in which they grow up. The adventures and different story lines makes it a much more interesting book than part 2.,4
"=""""",Python Image Processing Cookbook: Over 60 recipes to help you perform complex image processing and computer vision tasks with ease,"The first thing you notice with this book is the bad image quality. That is a bad start for a book about image processing. On too many examples you have to ask yourself is this artefact on the image there by design or by accident.<br/><br/>If we look a bit deeper, more problems emerge. Sometimes there is no before image and only an after image, or vice-versa. That makes it hard to follow and understand the effect the author covers in this part of the book. In other parts we get a lot of new terms but no explanations for any of them. Algorithms get introduced, but not explained and we end up with various approaches to solve the same problem. Which one to use in which situation is up to the reader to figure out.<br/><br/>I understand the purpose of a cookbook and that it should follow the problem-solution pattern. Yet this book offers so many solutions to the same problem using so many different libraries that we end up with a mess. ",1
"=""9781592332342""",Organizing Solutions for People With Attention Deficit Disorder: Tips and Tools to Help You Take Charge of Your Life and Get Organized,"Nothing new about cleaning up and organizing things. As always: Reduce stuff, get the remaining one in an easy-to-access location and make sure it stays that way. ",2
"=""9781638355274""",Pandas Workout: 200 exercises to make you a stronger data analyst,A great collection of helpful tricks for Pandas. The examples are well-selected and will be of use for your daily tasks with Pandas.,5
"=""9783701747191""",Kommunikation mit unverständlichen Maschinen (German Edition),Eine sehr gute Übersicht zu den Limitationen von KI Systemen und den damit verbundenen Konsequezen für deren Einsatz.,5
"=""9781617294631""",Natural Language Processing in Action,A practical introduction to the topic of natural language processing with many examples in Python. The book explains the important concepts in an understandable way and without the need to sound clever.  ,4
"=""9780593098233""",Dune Messiah (Dune #2),A bit disappointing after the first book of Dune with far too much day to day politics. ,3
"=""9781492075530""",Refactoring at Scale: Regaining Control of Your Codebase,A good explanation on all the work that needs to go into the strategic and management aspect of a large refactoring. It is a great addition to the book [b:Refactoring: Improving the Design of Existing Code|44936|Refactoring  Improving the Design of Existing Code|Martin Fowler|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925632l/44936._SX50_.jpg|44258] by Martin Fowler.,5
"=""9781098151249""",Tidy First?: A Personal Exercise in Empirical Software Design,"In this book Kent Beck explains the various small things we can do to tidy up our code. This fills up the largest part of the book and covers small, safe steps like renaming a variable, extracting methods and getting rid of dead code. The smaller, but almost more important second part answers the question of the book title. When should we do the tidy up? Then even small steps take time and cost money. The book finishes with a theoretical part where we get to know more about the reasoning behind the clean-up.<br/><br/>While Refactoring addresses the more general and usually larger changes to the structure, Tidy first? is more about the smallest steps we can take.",4
"=""9781484235157""","Deep Learning with Applications Using Python: Chatbots and Face, Object, and Speech Recognition With TensorFlow and Keras","The code examples are not provided as text but as JPGs, which are full of compression artefacts. The code is therefore difficult to read. The explanations of the code examples are thin and far too superficial to go into the basic concepts.",1
"=""""",Isn't It Obvious? Revised Edition,In this book Goldratt explains the theory of constraints from the perspective of a retail company. How to lower cost and still be able to let the customers buy the products they want comes with its own challenges that differ from the limitations in production.,4
"=""""","Dune (Dune, #1)","The book offers many more details, characters and action as the movie. That makes the book more challenging to read and to follow along. ",4
"=""9783257225358""",Der Richter und sein Henker,"In Dürrenmatts erstem Krimi laufen 2 Geschichten ineinander: Einerseits der Mordfall Schmied, bei der ein Polizeileutnant der Stadt Bern oberhalb von Twann ermordet wird, andererseits der 40 Jahre dauernde Kampf zwischen Kommissar Bärlach und dem Verbrecher Gastmann. In Dürrenmatts trefflicher Beschreibung der Stadt Bern und der Bielerseeregion geht es nur vordergründlich um einen Krimi. Die Jagd nach dem Mörder entfällt, da Bärlach bereits zu Beginn nur darauf wartet, dass der Mörder die Beweise seiner Schuld selber erbringen wird. So rückt die Hintergrundgeschichte alsbald in den Vordergrund und man wartet als Leser gespannt auf eine Lösung, die beiden Handlungssträngen gerecht wird. Gut, Böse, Richter, Henker - all dies kommt am Ende zusammen und sprengt die Erwartungen an einen Krimi. ",5
"=""""",Managing Agile Open-Source Software Projects with Visual Studio Online (Developer Reference),"This small book tries to explain how Visual Studio Online can help you with your project. That service is complex and the book is thin – not the best combination you can imagine. Too much isn’t covered, and what is covered has changed a lot – or is in a part that is simply unanswered.<br/><br/>The big question I have after reading the book is what the Open-Source part of the title is all about. Yes, you can manage an Open-Source project on this service. But how is this different from any other project? There isn’t any comparison to other well-known services like GitHub nor does it address any problem like the number of licences you will need. <br/><br/>The book gives a good overview on Visual Studio Online, but don’t read it if you are interested about the Open-Source part of the title.",1
"=""9783896705471""",Einführung in Systemtheorie und Konstruktivismus,"Hat einige gute Punkte, ist allerdings wirklich nur Einführung bei der man weitere Bücher lesen muss um damit etwas anfangen zu können. ",3
"=""9780321413093""",Implementation Patterns,"A disappointing book for me. The first three chapters are great. Here we can tap into the great knowledge of Kent Beck and get many useful insights. The rest of the book, where it goes about doing the work, is too shallow. It only helps you if you are already familiar with the topics and otherwise you only get some basic keywords you can use to try to understand what it is about somewhere else.",2
"=""9781492089469""",Think Bayes: Bayesian Statistics in Python,You can download the book for free from the website of the author and get the Jupyter Notebooks with the code samples. <br/><br/>I preferred the Notebooks much more than the book itself. The book covers too many topics at a too shallow level. <br/>,3
"=""""",Web Performance in Action,"The book now feels dated, even when many of the explained solutions still works and help you to improve the performance of your web application.",3
"=""9781801071970""",Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,"For me the book was too broad and too shallow to understand many of the covered topics. A more focused definition of Data Science and a selection of only a handful of topics would have been more useful. As it is, the book gives you keywords, that you have to explore on your own to understand what the topics is about and how to apply it to your problem.",2
"=""9781492092513""",Head First Git: A Learner's Guide to Understanding Git from the Inside Out,"A very good and detailed guide to Git. It not only coves the basic commands, but it explains the inner workings of Git at a level that you can easily follow. The book is also a great help if you want to know what changed in Git and learn about the new commands you can use.",5
"=""9781912832200""","Books to be Written: A non-fictions author's how-to guide to writing, publishing and marketing","If you think about writing a book, then this book is a must-read. Allan does a great job in answering your questions and shows you what other things you must be aware of to get your book over the finish line. I especially appreciated that Allan tells you where he has only limited knowledge and where you should make your own experiments or search for help elsewhere.",5
"=""""",Coded History: My Life of New Beginnings,"The book offers an interesting view not only into the life of Barry Dwolatzky, but also into the politics of South Africa and the end of the Apartheid regime. You get an nice mix of covert operations, technology and anecdotes of Barry.",4
"=""9781617291357""",Software Development Metrics,"The book explains nearly every possible metric you can come up with to measure the progress of a software project. The author not only explains how this metric can be used successfully, but he also explains in great detail how this measurement could be misused and prevent the benefits it could have. <br/><br/>Unfortunately, the book is not much more than a long catalogue of metrics. I had hoped for a more problem / solution guidance and more details on how to measure the data for the metric.<br/>",2
"=""""",Software Testing: An ISTQB-BCS Certified Tester Foundation guide - 4th edition,I found the terminology somewhat useful. But at the end I only feel sorry for anyone who has to take a test that uses this book as its official training material.,1
"=""9781098106478""",Learning Test-Driven Development: A Polyglot Guide to Writing Uncluttered Code,"It could have been THE book for a TDD introduction, but unfortunately the author had the stupid idea of covering 3 languages at once. Not only do they change in the order with each chapter (one it is JavaScript, Go, Python, then it is Python, Go, JavaScript) but you also need to read all 3 languages to not miss anything important. However, even with chapters dedicated to only one language, the author misses the chance to explain the programming-language specific tooling that could help you with TDD. <br/><br/>Unless you try to learn Go, JavaScript, and Python at the same time you try to learn TDD, this book will be no use to you.<br/>",1
"=""9781617298646""",Blazor in Action,"A good introduction to Blazor. I hoped for more practical advice on how to handle the shortcomings of Blazor, like SEO.",3
"=""9781803230191""","Pragmatic Test-Driven Development in C# and .NET: Write loosely coupled, documented, and high-quality code with DDD using familiar tools and libraries","The author sets himself up for a failure right at the beginning of the book by claiming that TDD is usually combined with Domain-Driven Design (DDD), and he is going to cover both topics. TDD alone would fill a book and DDD is an even bigger topic. Unfortunately for the readers, we get from both parts a bit and from nothing enough to be useful.<br/><br/>The author loves abbreviations and acronyms, explaining them is not his strength. If you find yourself in front of an abbreviation that you have no clue about, keep reading. To get the definition of WFA you may need to read up to chapter 6, even when you start building it in chapter 3. The explanation for the prefix Uqs in the project names follows in chapter 7. Such things should be found by a copy-editor and get fixed before the book gets published.<br/><br/>The FAQ section for TDD is useless. Is there a difference between Agile Scrum and Scrum, Agile Kanban and Kanban or Agile XP and XP? Prefixing everything with Agile when you write about agile methodologies is pointless. The other answers are not better and will not tell you anything if you did not already have prior knowledge.<br/><br/>Sintegration tests is a term I never heard before. It has nothing to do with the company of the same name and after reading the book, it looks for me it is just a unit test for a bigger unit. Why the author needed a new name for what was known as outside-in-testing remains unknown.<br/><br/>One of the main problems of the book is that the author wants to cover too much in a chapter. The best example for that is the chapter on FIRSTHAND, where he writes about naming conventions, code coverage, extensions for Visual Studio, test frameworks, practices, offers a solution to freeze time and many, many more things. Other authors use FAST to define the important aspects of TDD tests and give the readers a chance to remember what the F stands for when they get to the T. <br/><br/>The DDD adventure starts in part 2. The explanation of DDD is shallow, uses the same example of a 5£ note everyone else does and fails to understand that the ubiquitous language is much more than the business language. The code examples end up with the usual mix of domain terms followed by a *Service or *Repository suffix and are full of primitive data types – as if the string and the int are the pinnacles of the ubiquitous language. <br/><br/>The applications that the author builds with DDD either have no tests (as in chapter 7) or the testing starts when there is already a lot of code around (chapter 8, 9 and 10). There would be challenging aspects in the user stories he picks, but the implementation with TDD always stops right before it gets interesting. Some of those challenges would show why it is a bad idea to use the discouraged Entity Framework In-Memory provider.<br/><br/>After many more repetitions that this book is only about testing the backend, we finally reach part 3. The chapter on GitHub Actions is not bad, even when it takes too much space in a book on TDD. The excursion into brownfield projects was the most useless part of the whole book. Nice diagrams show the questions you should ask, but if you look closer, you only get the consultants favourite answer of “it depends”. All that interweaved with the strawman argument that you cannot introduce unit testing because you have no safety net to make changes (then how do you keep changing the application to introduce new features?). The final chapter on the rollout of TDD had some good insights, but it came too late to save the book.<br/><br/>If you are interested in TDD, buy any other book on TDD. <br/><br/>",1
"=""9780330491228""","Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)","A disappointing final book on the journey of Arthur Dent. Better than part 4, but so far away from the first part that wishes it would have ended earlier. The end is sad but somehow a relieve that this story now is finally over.  ",2
"=""9781788626088""",Hands-On Big Data Modeling: Effective database design techniques for data architects and business intelligence professionals,The book introduces so many tools that it lacks the pages to explain big data modelling in a useful way. That part of the book is far too short and offers next to no strategies to handle the various (technical) conflicts one may run into.<br/><br/>,1
"=""9781789953169""","Flask Framework Cookbook: Over 80 proven recipes and techniques for Python web development with Flask, 2nd Edition","Half the recipes are part of any halfway usable introduction to Flask and should be known to the reader already. The 5 recipes I found interesting where so short that you have absolutely no chance to learn anything from the book. <br/><br/>Instead of wasting time with Kubernetes, server-less applications, or the 10th variation to deploy Flask, focusing on the topics that are not part of every tutorial would have made this a good book. But as it is, the book is a total waste of time.",1
"=""9780138050955""","Learn Enough Python to Be Dangerous: Software Development, Flask Web Apps, and Beginning Data Science with Python",Parts of the book are refreshingly unconventional and improve the learning experience a lot. Other parts try to cover far too much content and only deliver on the dangerously enough promise.,2
"=""""",Architecting Modern Web Applications with ASP.NET Core and Azure,I got this book recommended as part of a workshop to learn more about what Microsoft suggests on architecture for .Net applications. I have no clue how that should be possible. Most topics are covered so shallowly that they are nothing more than a collection of buzzwords. The chapters with a bit more substance stay so general that they do not offer much help either. Complete waste of time. ,1
"=""""",Grokking Algorithms An illustrated guide for programmers and other curious people,Good explanation of algorithms and what we can use them for. A must-read for everyone who develops software. Could have been a bit longer in the more complex parts to explain a bit more the difference between the show approaches.,4
"=""9781617298301""",ASP.NET Core in Action,"I found the points on the order of the middleware pipeline the most helpful and I appreciated that this book explains Serilog and Seq so well for semantic logging. Unfortunately, the topic of testing came only at the end and should have got more space. All in all, I found the book too wordy, but if you are new to ASP.Net Core, you should give it a try.",3
"=""9781617296239""",Mastering Large Datasets,"The style of the book did not work for me. Far too much on Map/Reduce, far too few on Python. Endless explanations that repeated what was already told only broken up by diagrams that would need another round of editing. The Python code used to do the work that was described with this endless text could have been a blog post, and with another framing, the Java part could have been left out completely. For me a waste of time and money.",1
"=""9781789537253""",Hands-On Exploratory Data Analysis with Python,"Probably the best book I read on the topic of Exploratory Data Analysis with Python. It not only has the practical parts you can use right away, it also covers the theory behind.",5
"=""9781617295607""",Data Science with Python and Dask,"It had a few very helpful points on Pandas, but the rest of the book did not convince me.",2
"=""9781789134544""","Hands-On Predictive Analytics with Python: Master the complete predictive analytics process, from problem definition to model deployment",A good book for everyone interested in predictive Analytics with Python. ,4
"=""9781789801217""",40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learning different algorithms and their implementation in Python,"It starts very academically but for the first chapter that style worked. It showed the importance of algorithms and how many mistakes in software development could be stopped at an early point. Unfortunately, the book keeps going on at a too academic level, what may be useful for a course at a university. For everyone else, the style gets boring too fast, and I missed an explanation on why it selected those 40 algorithms and not different ones. There are a few interesting problems discussed in the book, but again, split over so many parts that it is annoying to get the full picture.",2
"=""9781801071598""",Software Architecture for Busy Developers,"The book covers a too big field and only gives you a few talking points for each topic. If this is the first book about software architecture, you could find a long list of terms that you have to look up. If you already know a bit, this book is rather useless because it is so shallow.",2
"=""9781839212710""",Get Your Hands Dirty on Clean Architecture: A hands-on guide to creating clean web applications with code examples in Java,Tom does a much better job explaining Clean Architecture than Robert C Martin did in [b:Clean Architecture|18043011|Clean Architecture|Robert C. Martin|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471680093l/18043011._SX50_.jpg|25319615].,4
"=""9781942788768""",The Unicorn Project,A well written story about the importance of operations in a software product. For me the book could add a bit more content after they got over the challenge. ,5
"=""9780978787189""",The Complete Sherlock Holmes Collection,"The complete collection of the Sherlock Holmes stories by Sir Arthur Conan Doyle. If you like those stories, you should get this book.<br/><br/>Unfortunately, the e-book did not have the title for many stories. That made it annoying to find a specific one.<br/>",4
"=""9781838981488""","The Data Visualization Workshop, Second Edition","A very useful book for everyone that wants to learn how to visualize data in Python. The book covers a few visualisations that are usually ignored, like the many ways you have to show data on maps.  ",4
"=""9781789138665""",Matplotlib 3.0 Cookbook: Over 150 recipes to create highly detailed interactive visualizations using Python,"A helpful book that shows not only the possibilities of Matplotlib, but it explains exactly what goes on. The only downside I found was that on an eReader it would be great if the chapter would start with the plot that is created. That way one could find the recipe a lot faster.",4
"=""9781484274101""",Hands-on Matplotlib: Learn Plotting and Visualizations with Python 3,"A big disappointment. It takes 3 chapters to get to Matplotlib, then follows the basic parts of Matplotlib that every tutorial covers and as soon as it starts to get interesting, the book reaches its end. ",1
"=""9780134034287""",Effective Python: 59 Specific Ways to Write Better Python (Effective Software Development Series),"Many of the 59 ways are not Python specific and can help you with other programming languages as well. As so often, when you know the topic already, the book offers enough details. If you are new to a topic, then it lacks the necessary depth. I am not a fan of having a wrong example first and then come up with something better, especially if it is not obviously false and the author does not explain enough why the first one should be omitted.<br/><br/>",2
"=""9781786464293""",Python Web Scraping,"A useful book on web scraping with Python. It is a wordier version of [b:Hands-On Web Scraping with Python: Perform advanced scraping operations using various Python libraries and tools such as Selenium, Regex, and others|52371830|Hands-On Web Scraping with Python  Perform advanced scraping operations using various Python libraries and tools such as Selenium, Regex, and others|Anish Chapagain|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564249289l/52371830._SX50_SY75_.jpg|72400052] and does not reach the quality of [b:Web Scraping with Python: Collecting Data from the Modern Web|25752783|Web Scraping with Python  Collecting Data from the Modern Web|Ryan Mitchell|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435869255l/25752783._SX50_.jpg|45595500]. ",3
